# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	25487
#@/user_id	08739937-06a1-48ea-b483-a1d82a4c18b3
Epsilon 	Ε	c=1 d=1.21929e-09 t=25487
a 	啊	c=131 d=2.60622 t=25487
a li 	阿里	c=0 d=5.23647e-38 t=25487
a li yun pan 	阿里云盘	c=2 d=4.75408e-34 t=25487
a wang 	阿汪	c=1 d=1.35188e-47 t=25487
a zhe 	啊这	c=2 d=4.32859e-05 t=25487
add 	add	c=1 d=5.36829e-06 t=25487
ai 	哎	c=18 d=0.00166989 t=25487
ai 	唉	c=1 d=2.63427e-13 t=25487
ai 	爱	c=1 d=4.66603e-33 t=25487
ai 	矮	c=0 d=0.000647375 t=25487
ai bu shi shou 	爱不释手	c=1 d=2.67081e-28 t=25487
ai jian 	挨肩	c=0 d=2.4426e-37 t=25487
ai mo 	艾莫	c=1 d=5.35426e-34 t=25487
ai qing 	爱卿	c=4 d=2.72806e-41 t=25487
ai ya 	哎呀	c=5 d=0.346455 t=25487
ai yo 	哎哟	c=1 d=5.19337e-28 t=25487
alpha 	alpha	c=5 d=0.718923 t=25487
alpha 	α	c=1 d=1.03383e-09 t=25487
an 	俺	c=1 d=4.25197e-28 t=25487
an 	安	c=1 d=6.71805e-27 t=25487
an 	按	c=4 d=3.32577e-20 t=25487
an bu 	安不	c=0 d=1.42197e-25 t=25487
an bu an quan 	安不安全	c=1 d=1.4291e-24 t=25487
an di li 	暗地里	c=1 d=3.00714e-41 t=25487
an gui 	按规	c=0 d=6.10486e-49 t=25487
an gui ju lai 	按规矩来	c=1 d=6.13545e-48 t=25487
an ji suan 	氨基酸	c=3 d=1.58713e-45 t=25487
an li 	案例	c=1 d=1.33154e-45 t=25487
an li shuo 	按理说	c=1 d=2.10816e-39 t=25487
an pai 	安排	c=11 d=0.246979 t=25487
an quan 	安全	c=3 d=0.0515605 t=25487
an quan gui 	安全柜	c=2 d=1.10332e-25 t=25487
an shuo 	按说	c=1 d=8.4876e-13 t=25487
an xiang wan nian 	安享晚年	c=1 d=1.46682e-07 t=25487
an zhao 	按照	c=3 d=1.57045e-16 t=25487
an zhuang 	安装	c=95 d=1.55229 t=25487
an zhuang bao 	安装包	c=1 d=5.77539e-13 t=25487
an zhuo 	安卓	c=9 d=0.000575657 t=25487
an zhuo ji 	安卓机	c=1 d=8.662e-17 t=25487
and 	and	c=2 d=4.32771e-29 t=25487
ang 	昂	c=1 d=7.13977e-08 t=25487
ao bi 	澳币	c=1 d=5.74641e-42 t=25487
ao men 	澳门	c=1 d=5.71777e-42 t=25487
ao mi ke rong 	奥密克戎	c=1 d=2.03219e-19 t=25487
aw k 	awk	c=3 d=2.37471e-35 t=25487
ba 	八	c=1 d=3.14405e-06 t=25487
ba 	吧	c=180 d=2.32239 t=25487
ba 	把	c=70 d=0.036573 t=25487
ba 	爸	c=6 d=2.1061e-11 t=25487
ba ge 	八个	c=1 d=3.70921e-39 t=25487
ba kong 	把控	c=1 d=2.285e-16 t=25487
ba le 	罢了	c=4 d=9.3798e-06 t=25487
ba ma 	爸妈	c=1 d=1.33388e-07 t=25487
ba ni 	把你	c=1 d=1.47793e-37 t=25487
